Campus Name,State,City / Town / Village,Address1,Address2,Country Name,Zip Code
DARWIN,NT,DARWIN,"80 MITCHELL STREET,",LEVEL 2,AUSTRALIA,800
DEAKIN,ACT,DEAKIN,109 KENT STREET,,AUSTRALIA,2600
NEXTGEN NETWORKS PTY LTD,VIC,WEST MELBOURNE,22 WALSH ST,,AUSTRALIA,3003
FORREST,ACT,FORREST,28 SYDNEY AVENUE,LEVEL 5,AUSTRALIA,2603
CLASSIC BLUE,QLD,FORTITUDE VALLEY,733 ANN STREET,,AUSTRALIA,4006
CLASSIC BLUE,SA,KIDMAN PARK,340 FINDON RD,,AUSTRALIA,5025
LIDCOMBE,NSW,LIDCOMBE,"UNIT D1, 3-29 BIRNIE AVENUE",,AUSTRALIA,2141
NORWICH,NSW,ST LEONARDS,601 PACIFIC HIGHWAY,,AUSTRALIA,2065
PERTH,WA,WEST PERTH,1060 HAY STREET,,AUSTRALIA,6005
HOBART,TAS,HOBART,86 COLLINS STREET,,AUSTRALIA,7000
INNOVATE,NSW,PYRMONT,"100 HARRIS ST,  LEVEL 1",,AUSTRALIA,2009
MELBOURNE,VIC,MELBOURNE,"LEVEL 5, 204 LYGON STREET, CARLTON, VIC 3053","IBM RESEARCH - AUSTRALIA, LEVEL 5, 204 LYGON STREET, CARLTON, VIC 3053",AUSTRALIA,3053
AUSTIN,TX,AUSTIN,11550 STONEHOLLOW DR,,UNITED STATES,78758-3166
AUSTIN,TX,AUSTIN,823 CONGRESS BUILDING,SUITE P-11,UNITED STATES,78701
SOUTHPORT,QLD,SOUTHPORT,L11 & L7 SEABANK,12-14 MARINE PARADE,AUSTRALIA,4215
AUSTIN,TX,AUSTIN,11501 BURNET RD,,UNITED STATES,78758-3400
SOUTHGATE,VIC,MELBOURNE,"W TOWER, 60 CITY RD",SOUTHGATE,AUSTRALIA,3006
SOFTLAYER MELBOURNE DATA CENTE,VIC,MELBOURNE,"72 RADNOR DRIVE, DEER PARK",SUITE 110,AUSTRALIA,3032
SOFTLAYER MELBOURNE DATA CENTE,VIC,MELBOURNE,"72 RADNOR DRIVE, DEER PARK",SUITE 130,AUSTRALIA,3032
AUSTIN,TX,AUSTIN,2309 GRACY FARMS,,UNITED STATES,78758-2990
PERTH,WA,PERTH,"L24, 108 ST GEORGES TERRACE",,AUSTRALIA,6000
AUSTIN,TX,AUSTIN,11301 BURNET RD,,UNITED STATES,78758-3404
AUSTIN,TX,AUSTIN,11400 BURNET RD,,UNITED STATES,78758-3493
MELBOURNE,VIC,MELBOURNE,380 LA TROBE ST,"LEVELS 13, 14 & 15",AUSTRALIA,3000
ARUBA,,ORANJESTAD,ANASASTRAAT 8,,ARUBA,
BAKU,AB,BAKU,NIZAMI STREET 96 E,LANDMARK I,AZERBAIJAN,1010
"BAKU, AZERBAIJAN",ALL,NO CITY,NO IBM LOCATION IN THIS COUNTRY,USED FOR HOME & MOBILE IBM WORKERS IN THIS COUNTRY,AZERBAIJAN,AZ 1000
STMICHAEL,8,ST MICHAEL,COLLYMORE ROCK,,BARBADOS,
"DHAKA, BANGLADESH",ALL,NO CITY,NO IBM LOCATION IN THIS COUNTRY,USED FOR HOME & MOBILE IBM WORKERS IN THIS COUNTRY,BANGLADESH,
ANTWERP,VAN,ANTWERP,GENERAAL LEMANSTRAAT 69,,BELGIUM,2018
CORTENBERGH,BRU,BRUSSELS,116 AVENUE DE CORTENBERGH,,BELGIUM,1000
CONTERN,L,CONTERN,2-4 RUE EDMOND REUTER,ZONE INDUSTRIALE CONTERN,LUXEMBOURG,5326
GENT,VOV,GENT,EINDE WERE 106,,BELGIUM,9000
INTERXION,VBR,ZAVENTEM,WEZEMBEEKSTRAAT 2 BUS 1,,BELGIUM,1830
LEOPOLD SQUARE,BRU,BRUSSELS,"AVENUE DU BOURGET, 42",,BELGIUM,1130
LIEGE ZENOBE GRAMME,WLG,LIEGE,SQUARE DES CONDUITES D'EAU 7-8,PARC D'AFFAIRES ZENOBE ,BELGIUM,4020
PHOENIX,BRU,BRUSSELS,102 BOULEVARD DE LA WOLUWE,,BELGIUM,1200
DC BELGACOM MACHELEN,VBR,MACHELEN,"NIEUWBRUGSTRAAT, 91",,BELGIUM,1830
NOSSEGEM,VBR,NOSSEGEM,MERCURIUSSTRAAT 27,,BELGIUM,1930
OUAGADOUGOU,KAD,OUAGADOUGOU,994 AVENUE DU PROFESSEUR JOSEPH KI - ZEBRO,,BURKINA FASO,01 BP827
SOFIA,23,SOFIA,41 CHRISTOPHOR COLUMB BLVD,"PORSCHE CENTER, BLDG 41",BULGARIA,1592
SOFIA,23,SOFIA,BUSINESS PARK SOFIA,BUILDING 5,BULGARIA,1715
SOFIA AIRPORT CENTER,23,SOFIA,64 CHRISTOPHER COLUMBUS BLVD.,SOFIA AIRPORT CENTER,BULGARIA,1592
SOFIA,23,SOFIA,"36, DRAGAN TZANKOV BLVD",INTERPRED WORLD TRADE CENTER,BULGARIA,1057
BURUNDI,ALL,NO CITY,NO IBM LOCATION IN THIS COUNTRY,USED FOR HOME & MOBILE IBM WORKERS IN THIS COUNTRY,BURUNDI,
BENIN,ALL,NO CITY,NO IBM LOCATION IN THIS COUNTRY,USED FOR HOME & MOBILE IBM WORKERS IN THIS COUNTRY,BENIN,
MOUNTAIN MAIN SITE,CO,BOULDER,6300 DIAGONAL HWY,,UNITED STATES,80301-6108
BERMUDA,ALL,NO CITY,NO IBM LOCATION IN THIS COUNTRY,USED FOR HOME & MOBILE IBM WORKERS IN THIS COUNTRY,BERMUDA,
BRUNEI,BM,BANDAR SERI BEGAWAN,"UNIT 22, BLOCK B, BANGUNAN HABZA","SIMPANG 150, KAMPUNG KIULAP",BRUNEI DARUSSALAM,BE1518
BOEBLINGEN,BW,BOEBLINGEN,SCHOENAICHER STR. 220,,GERMANY,71032
"LA PAZ, BO",ALL,NO CITY,NO IBM LOCATION IN THIS COUNTRY,USED FOR HOME & MOBILE IBM WORKERS IN THIS COUNTRY,"BOLIVIA, PLURINATIONAL STATE OF",
AGUA BRANCA,SP,SÃO PAULO,AV FRANCISCO MATARAZZO #1500,LOS ANGELES TOWER 3RD & 4TH FLOOR,BRAZIL,05001-100
SALVADOR,BA,SALVADOR,"AV. LUIZ VIANA FILHO, KM10","PV TECNOCENTRO,SLS108 A 115",BRAZIL,41730-101
BARUERI,SP,BARUERI,ALAMEDA ARAGUAIA 2044 - 9TH FLOOR. ALPHAVILLE. CJS,TORRE I DO EDIFÍCIO CENTRO EMPRESARIAL ARAGUAIA,BRAZIL,06455-000
BELEM,PA,BELEM,"AVE. GOVERNADOR JOSÉ MALCHER, 168",CJ 110/111 - C,BRAZIL,66035-100
CENTURY TOWER,MG,BELO HORIZONTE,"RUA MARIA LUIZA SANTIAGO, 200","3º, 4º E 5º ANDARES",BRAZIL,30360-740
BIRMAN 9,SP,SÃO PAULO,RUA ENG. FRANCISCO DE PITTA BRITO #125,"FLOOR SS, TE, 1, 3, 4, 5, 6, 7, & 8",BRAZIL,04753-080
BRASILIA,DF,BRASILIA,"SCN QUADRA 4, BLOCO B,  N.100",SALA 701 E SUBSOLO,BRAZIL,70714-900
CAXIAS DO SUL,RS,CAXIAS DO SUL,"AV. THEREZINHA PAULETTI SANVITTO, 52",SALA 3,BRAZIL,95110-195
CENTRO EMPRESARIAL GUAÍBA,RS,PORTO ALEGRE,"AVENIDA DOLORES ALCARAZ CALDAS, N.º 90,  7º, 8º, 1",,BRAZIL,90110-180
CUIABÁ,MT,CUIABÁ,"AVE. SÃO SEBASTIÃO, 3285, ",SL. REUNIÃO -STA. HELENA,BRAZIL,78045-000
CURITIBA,PAR,CURITIBA,"RUA ANNE FRANK, 969",HAUER,BRAZIL,81610-020 
MANAUS,AM,MANAUS,AVE. CONSTANTINO NERY 4165,SALA 104,BRAZIL,69058-795
GOIANIA,GO,GOIANIA,"RUA 6, N.370, 15 ANDAR",SALAS 1506/1507/1508,BRAZIL,74115-070
ITAPECURU - SULAMERICA,SP,BARUERI,"ALAMEDA ITAPECURU, Nº 124",,BRAZIL,06454-080
JOINVILLE,SC,JOINVILLE,"RUA PLACIDO GOMES # 610, 1ST FL. ROOM 101,102, 103",BAIRRO ANITA GARIBALDI,BRAZIL,89202-050
LA HEADQUARTER,SP,SÃO PAULO,CENTRO EMPRESARIAL NACOES UNIDAS ,"AVENUE NACOES UNIDAS, N 12901, SLS 2001/2002/2101/2102",BRAZIL,04578-000
FORTALEZA,CE,FORTALEZA,AV. SANTOS DUMONT 1789 S.213,,BRAZIL,61150-060
LONDRINA GEO,PR,LONDRINA,"AV. HIGIENÓPOLIS, 1601",MEZZANINE,BRAZIL,86020-080
PASTEUR,RJ,RIO DE JANEIRO,AV. PASTEUR 146 & 138,,BRAZIL,22290-240
HORTOLANDIA,SP,HORTOLANDIA,RD J FCO AGUIRRE PROENÇA KM 9 SP101,CHACARA ASSAY,BRAZIL,13186-900
SION,RJ,RIO DE JANEIRO,PRAIA DE BOTAFOGO # 501 - 7TH FLOOR CJ 70,,BRAZIL,22250-040
BROMONT R&D,QC,BROMONT,45 BOUL DE L'AEROPORT,,CANADA,J2L 1S8
BROMONT,QC,BROMONT,23 BOULEVARD DE L'AEROPORT,,CANADA,J2L 1A3
BELEM,PA,BELEM,AV. GOVERNADOR JOSE MALCHER #815,,BRAZIL,66055-260
CURITIBA,PR,CURITIBA,AV. MARECHAL DEODORO #717  10TH AND,,BRAZIL,80020-320
PROOFFICE,AM,MANAUS,"RUA SALVADOR, Nº 120 SALA 09 12º ANDAR",EDÍFICIO VIERALVES BUSINESS CENTER,BRAZIL,69057-040
RECIFE,PE,RECIFE,"RUA CAIS DO APOLO #222, 14 TH",BAIRRO RECIFE,BRAZIL,50030-905
RIBEIRÃO PRETO ,SP,RIBEIRÃO PRETO ,"AV PRES. VARGAS 2121, 15. ANDAR","SALA 1508 (PARTE), BAIRRO CENTRO",BRAZIL,14025-010
SALVADOR,BA,SALVADOR,AV. TANCREDO NEVES 450 SALA 3201,CAMINHO DAS ARVORES,BRAZIL,41820-020
FLORIANOPOLIS,SC ,FLORIANOPOLIS,RUA ADOLFO MELO #35,SALAS 101 / 102,BRAZIL,88015-090
SÃO LUIS,MA,SÃO LUIS,"R. DAS PALMEIRAS, 07",QD. A - BAIRRO RENA,BRAZIL,65075-300
TUTOIA,SP,SÃO PAULO,RUA TUTOIA 1157,,BRAZIL,04007-900
UBERLANDIA,MG,UBERLANDIA,"AV NICOMEDES ALVES DOS SANTOS, 1078",ALTAMIRA,BRAZIL,38400-044
VITORIA,ES,VITÓRIA,AVE. NOSSA SENHORA DA PENHA 1255,SALAS 101 / 102,BRAZIL,29055-131
NASSAU,NP,NASSAU,SECOND TERRACE & COLLINS AVENUE,,BAHAMAS,
BURLINGTON MAIN SITE,VT,ESSEX JUNCTION,1000 RIVER ST,,UNITED STATES,05452-4299
WILLISTON,VT,WILLISTON,326 IBM ROAD,,UNITED STATES,05495-7907
BOTSWANA,ALL,NO CITY,NO IBM LOCATION IN THIS COUNTRY,USED FOR HOME & MOBILE IBM WORKERS IN THIS COUNTRY,BOTSWANA,ALL
BELARUS,ALL,NO CITY,NO IBM LOCATION IN THIS COUNTRY,USED FOR HOME & MOBILE IBM WORKERS IN THIS COUNTRY,BELARUS,
GATINEAU,QC,GATINEAU,490 ST JOSEPH BLVD,SUITE 201,CANADA,J8Y 3Y7
VICTORIA,BC,VICTORIA,1803 DOUGLAS ST,,CANADA,V8T 5C3
MONCTON,NB,MONCTON,535 EDINBURGH DR,,CANADA,E1E 4E3
NORTH BAY,ON,NORTH BAY,34 COMMERCE CRESCENT,,CANADA,P1A 0B4
BARRIE,ON,BARRIE,4 ALLIANCE BOULEVARD,,CANADA,L4M 5J1
BURLINGTON,ON,BURLINGTON,3375 NORTH SERVICE RD,,CANADA,L7N 3G2
KINGSTON,ON,KINGSTON,690 DALTON ST.,,CANADA,K7M 8N8
QUEBEC CITY,QC,QUEBEC CITY,140 GRANDE ALLEE EAST,,CANADA,G1R 5N6
HALIFAX,NS,HALIFAX,1969 UPPER WATER ST,"17TH FLR, PURDY'S WHARF",CANADA,B3J 3R7
TORONTO TOWER,ON,TORONTO,79 WELLINGTON ST. W.,,CANADA,M5K 1B1
SAINT JOHN,NB,SAINT JOHN,400 MAIN ST,,CANADA,E2K 4N5
CALGARY,AB,CALGARY,227 - 11TH AVENUE SW,,CANADA,T2R 1R9
WATERLOO,ON,WATERLOO,410 ALBERT STREET,,CANADA,N2L 3V3
HAMILTON,ON,HAMILTON,45 GODERICH RD ,UNIT 7A,CANADA,L8E 4W8
NEPEAN,ON,OTTAWA,62 AURIGA DR,,CANADA,K2E 7W6
CA Q1 LABS,NB,FREDERICTON,80 BISHOP DRIVE,SUITE B,CANADA,E3C 1B2
REGINA,SK,REGINA,1801 HAMILTON ST,,CANADA,S4P 4B4
MARKHAM-14TH,ON,MARKHAM,4175 14TH AVENUE,,CANADA,L3R 5R5
TORONTO,ON,TORONTO,90 SHEPPARD AVE E,5TH FLOOR,CANADA,M2N 3A1
OSHAWA,ON,OSHAWA,1103 WENTWORTH ST. W.,UNIT 4,CANADA,L1J 8P7
VANCOUVER,BC,VANCOUVER,1190 HOMER STREET SUITE 401,,CANADA,V6B 2X6
ST. JOHN'S,NL,ST. JOHN'S,136 CROSBIE RD,,CANADA,A1B 3K3
MONTREAL,QC,MONTREAL,1360 RENE LEVESQUE BLVD. WEST,,CANADA,H3G 2W6
WINNIPEG,MB,WINNIPEG,1445 PORTAGE AVE.,5TH FLOOR,CANADA,R3G 3P4
KAMLOOPS,BC,KAMLOOPS,"153 SEYMOUR ST, SUITE 305",,CANADA,V2C 2C7
CAALGORITHMICS,ON,TORONTO,185 SPADINA AVE,,CANADA,M5T 2C6
